"Key","Example","Source","Context","Game Locations","es","es translator type","pt","pt translator type","ja","ja translator type","ko","ko translator type","fr","fr translator type","de","de translator type","id","id translator type"
"badge.first_dish","","First Dish","Badge name","","Primer Plato","User","Primeiro Prato","User","初めての一皿","User","첫 요리","User","Premier plat","User","Erstes Gericht","User","Hidangan Pertama","User"
"badge.first_dish.desc","","Your first plate over the pass.","Badge description","","Tu primer plato en la ventanilla.","User","Seu primeiro prato na janela.","User","初めて出した一皿。","User","서빙 창구를 넘긴 첫 접시.","User","Votre première assiette au passe.","User","Dein erster Teller über die Ausgabe.","User","Piring pertamamu lewat jendela saji.","User"
"badge.clean_service","","Clean Service","Badge name: no missed tickets","","Servicio Impecable","User","Serviço Impecável","User","ノーミス営業","User","완벽한 서비스","User","Service impeccable","User","Saubere Schicht","User","Layanan Bersih","User"
"badge.clean_service.desc","","A whole shift without missing a ticket.","Badge description","","Un turno entero sin perder ningún pedido.","User","Um turno inteiro sem perder pedidos.","User","一度も注文を逃さずシフト完走。","User","한 번도 주문을 놓치지 않은 근무.","User","Un service entier sans rater une commande.","User","Eine ganze Schicht ohne verpasste Bestellung.","User","Satu shift penuh tanpa pesanan terlewat.","User"
"badge.three_stars","","Three Stars","Badge name","","Tres Estrellas","User","Três Estrelas","User","三つ星","User","별 셋","User","Trois étoiles","User","Drei Sterne","User","Tiga Bintang","User"
"badge.three_stars.desc","","Finish a shift with all three stars.","Badge description","","Termina un turno con tres estrellas.","User","Termine um turno com três estrelas.","User","三つ星でシフトを終える。","User","별 셋으로 근무를 마치세요.","User","Terminez un service avec trois étoiles.","User","Beende eine Schicht mit drei Sternen.","User","Selesaikan shift dengan tiga bintang.","User"
"badge.full_house","","Full House","Badge name: 3 stars with 4 humans","","Lleno Total","User","Casa Cheia","User","満席","User","풀 하우스","User","Salle comble","User","Volles Haus","User","Rumah Penuh","User"
"badge.full_house.desc","","Three stars with a full crew of four.","Badge description","","Tres estrellas con un equipo completo de cuatro.","User","Três estrelas com equipe completa de quatro.","User","4人フルメンバーで三つ星。","User","4인 풀 크루로 별 셋.","User","Trois étoiles avec une brigade complète de quatre.","User","Drei Sterne mit vollem Team aus vier.","User","Tiga bintang dengan tim lengkap berempat.","User"
"badge.head_chef","","Head Chef","Badge name: reach level 10","","Jefe de Cocina","User","Chefe de Cozinha","User","料理長","User","총주방장","User","Chef de cuisine","User","Küchenchef","User","Kepala Koki","User"
"badge.head_chef.desc","","Reach level 10.","Badge description","","Alcanza el nivel 10.","User","Alcance o nível 10.","User","レベル10に到達。","User","레벨 10 달성.","User","Atteignez le niveau 10.","User","Erreiche Level 10.","User","Capai level 10.","User"
"badge.century","","Century","Badge name: 100 dishes","","Centenario","User","Centenário","User","100皿","User","센추리","User","Centenaire","User","Hundert","User","Seratus","User"
"badge.century.desc","","Serve 100 dishes.","Badge description","","Sirve 100 platos.","User","Sirva 100 pratos.","User","100皿を提供。","User","100개의 요리를 서빙하세요.","User","Servez 100 plats.","User","Serviere 100 Gerichte.","User","Sajikan 100 hidangan.","User"
"badge.thousand","","Thousand Plates","Badge name: 1000 dishes","","Mil Platos","User","Mil Pratos","User","千皿","User","천 개의 접시","User","Mille assiettes","User","Tausend Teller","User","Seribu Piring","User"
"badge.thousand.desc","","Serve 1,000 dishes.","Badge description","","Sirve 1.000 platos.","User","Sirva 1.000 pratos.","User","1,000皿を提供。","User","1,000개의 요리를 서빙하세요.","User","Servez 1 000 plats.","User","Serviere 1.000 Gerichte.","User","Sajikan 1.000 hidangan.","User"
"badge.founding","","Founding Chef","Badge name: played during launch","","Chef Fundador","User","Chef Fundador","User","創業シェフ","User","창립 셰프","User","Chef fondateur","User","Gründungskoch","User","Koki Perintis","User"
