"Key","Example","Source","Context","Game Locations","es","es translator type","pt","pt translator type","ja","ja translator type","ko","ko translator type","fr","fr translator type","de","de translator type","id","id translator type"
"ui.start_shift","","START SHIFT","Main button that begins a round","","EMPEZAR TURNO","User","INICIAR TURNO","User","シフト開始","User","근무 시작","User","COMMENCER","User","SCHICHT STARTEN","User","MULAI SHIFT","User"
"ui.waiting","","WAITING…","Button caption after you ready up, waiting on others","","ESPERANDO…","User","AGUARDANDO…","User","待機中…","User","대기 중…","User","EN ATTENTE…","User","WARTEN…","User","MENUNGGU…","User"
"ui.play","","PLAY","Primary button on the welcome card","","JUGAR","User","JOGAR","User","プレイ","User","플레이","User","JOUER","User","SPIELEN","User","MAIN","User"
"ui.ready","","READY!","Primary button when a round is about to start","","¡LISTO!","User","PRONTO!","User","準備完了！","User","준비 완료!","User","PRÊT !","User","BEREIT!","User","SIAP!","User"
"ui.buy","","BUY","Shop button","","COMPRAR","User","COMPRAR","User","購入","User","구매","User","ACHETER","User","KAUFEN","User","BELI","User"
"ui.equip","","EQUIP","Wear a cosmetic you own","","EQUIPAR","User","EQUIPAR","User","装備","User","착용","User","ÉQUIPER","User","ANLEGEN","User","PAKAI","User"
"ui.equipped","","EQUIPPED","State badge on the item you are wearing","","EQUIPADO","User","EQUIPADO","User","装備中","User","착용 중","User","ÉQUIPÉ","User","ANGELEGT","User","DIPAKAI","User"
"ui.try_it","","TRY IT","Preview an item you do not own yet","","PROBAR","User","EXPERIMENTAR","User","試着","User","입어보기","User","ESSAYER","User","ANPROBIEREN","User","COBA","User"
"ui.wardrobe","","👕 WARDROBE","Tab: change how your chef looks","","👕 VESTUARIO","User","👕 GUARDA-ROUPA","User","👕 ワードローブ","User","👕 옷장","User","👕 GARDE-ROBE","User","👕 GARDEROBE","User","👕 LEMARI","User"
"ui.shop","","🛒 SHOP","Tab: buy cosmetics","","🛒 TIENDA","User","🛒 LOJA","User","🛒 ショップ","User","🛒 상점","User","🛒 BOUTIQUE","User","🛒 SHOP","User","🛒 TOKO","User"
"ui.career","","⭐ CAREER","Tab: level, goals, badges","","⭐ CARRERA","User","⭐ CARREIRA","User","⭐ キャリア","User","⭐ 커리어","User","⭐ CARRIÈRE","User","⭐ KARRIERE","User","⭐ KARIER","User"
"ui.ranks","","🏆 RANKS","Tab: leaderboards","","🏆 CLASIFICACIÓN","User","🏆 RANKING","User","🏆 ランキング","User","🏆 순위","User","🏆 CLASSEMENT","User","🏆 RANGLISTE","User","🏆 PERINGKAT","User"
"ui.bots_on","","BOTS: ON","Toggle: bots fill empty chef slots","","BOTS: SÍ","User","BOTS: LIG.","User","ボット: オン","User","봇: 켜기","User","BOTS : OUI","User","BOTS: AN","User","BOT: AKTIF","User"
"ui.bots_off","","BOTS: OFF","Toggle: no bots, humans only","","BOTS: NO","User","BOTS: DESL.","User","ボット: オフ","User","봇: 끄기","User","BOTS : NON","User","BOTS: AUS","User","BOT: MATI","User"
"ui.new_server","","NEW SERVER","Leave this kitchen and find another","","NUEVO SERVIDOR","User","NOVO SERVIDOR","User","新しいサーバー","User","새 서버","User","NOUVELLE PARTIE","User","NEUER SERVER","User","SERVER BARU","User"
"ui.invite_friend","","＋ INVITE A FRIEND","Opens the Roblox invite sheet","","＋ INVITAR AMIGO","User","＋ CONVIDAR AMIGO","User","＋ フレンドを招待","User","＋ 친구 초대","User","＋ INVITER UN AMI","User","＋ FREUND EINLADEN","User","＋ UNDANG TEMAN","User"
"ui.invite_friends","","＋ INVITE FRIENDS","Same, on the Career tab","","＋ INVITAR AMIGOS","User","＋ CONVIDAR AMIGOS","User","＋ フレンドを招待","User","＋ 친구 초대","User","＋ INVITER DES AMIS","User","＋ FREUNDE EINLADEN","User","＋ UNDANG TEMAN","User"
"ui.join_friend","","JOIN A FRIEND","Jump into a friend's kitchen","","UNIRSE A UN AMIGO","User","ENTRAR COM AMIGO","User","フレンドに参加","User","친구 참가","User","REJOINDRE UN AMI","User","FREUND BEITRETEN","User","GABUNG TEMAN","User"
"ui.walk","","▶ WALK","Wardrobe: make the preview chef walk","","▶ CAMINAR","User","▶ ANDAR","User","▶ 歩く","User","▶ 걷기","User","▶ MARCHER","User","▶ LAUFEN","User","▶ JALAN","User"
"ui.idle","","⏸ IDLE","Wardrobe: stop the preview chef walking","","⏸ QUIETO","User","⏸ PARADO","User","⏸ 停止","User","⏸ 정지","User","⏸ PAUSE","User","⏸ STOPP","User","⏸ DIAM","User"
"ui.drag_to_spin","","Drag the chef to spin.","Wardrobe hint","","Arrastra para girar.","User","Arraste para girar.","User","ドラッグして回転。","User","드래그해서 돌려보세요.","User","Faites glisser pour tourner.","User","Zum Drehen ziehen.","User","Geser untuk memutar.","User"
"ui.drag_and_tap","","Drag the chef to spin. Tap anything to wear it.","Wardrobe hint, longer form","","Arrastra para girar. Toca para ponértelo.","User","Arraste para girar. Toque para vestir.","User","ドラッグして回転。タップで着替え。","User","드래그해서 돌리고, 탭해서 착용하세요.","User","Faites glisser pour tourner. Touchez un objet pour le porter.","User","Zum Drehen ziehen. Zum Anlegen antippen.","User","Geser untuk memutar. Ketuk untuk memakai.","User"
